10, 17106133
20, 13166694
30, 15767201
40, 13221227
50, 11267173
60, 9818430
70, 8592659
80, 7855926
90, 7035896
100, 6592896
110, 5953318
120, 5568380
130, 5285613
140, 4951489
150, 4647850
160, 4409888
170, 4223027
180, 3972876
190, 3707718
200, 3583197
210, 3411621
220, 3282559
230, 3113348
240, 3002491
250, 2876674
260, 2781851
270, 2702824
280, 2602525
290, 2484911
300, 2430988
310, 2311172
320, 2241993
330, 2149777
340, 2073572
350, 1978723
360, 1968559
370, 1881965
380, 1835449
390, 1749778
400, 1659853
410, 1638381
420, 1592136
430, 1531805
440, 1501505
450, 1470321
460, 1419417
470, 1366559
480, 1314707
490, 1272329
500, 1240219
510, 1212663
520, 1184661
530, 1159497
540, 1144219
550, 1124720
560, 1067747
570, 1053508
580, 1020089
590, 1027196
600, 999959
610, 1004881
620, 985926
630, 972301
640, 944730
650, 925484
660, 909604
670, 897190
680, 895279
690, 867277
700, 859045
710, 855416
720, 841285
730, 830285
740, 815246
750, 796289
760, 760258
770, 756852
780, 742243
790, 730205
800, 714224
810, 700064
820, 711382
830, 696108
840, 687980
850, 675596
860, 678745
870, 657384
880, 650219
890, 626909
900, 623421
910, 617825
920, 622137
930, 619309
940, 607235
950, 597177
960, 584603
970, 576172
980, 587490
990, 576554
1000, 569871
